名称,URL,速度(MB/s),分类
东方卫视,http://112.99.195.122:65000/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.999,卫视 SD（632条）
两个人-蔡妍-BerryGood,https://vd4.bdstatic.com/mda-ki9ze4v8sw9sj7cb/sc/mda-ki9ze4v8sw9sj7cb.mp4,0.989,其它
两个弄潮儿-牛群冯巩,https://vd3.bdstatic.com/mda-mkqdhm17rs7198m6/hd/cae_h264/1637859905115117938/mda-mkqdhm17rs7198m6.mp4,0.990,其它
中国天气,http://111.56.90.5/000000000000/5000000005000031974/index.m3u8,0.916,其它
云南卫视,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMzUvaW5kZXgubTN1OA==,0.725,卫视 SD（632条）
云南卫视,http://112.99.195.122:65000/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.729,卫视 SD（632条）
云朵、刀郎、孙露、张雨生等经典怀旧歌曲6首HD,https://vdse.bdstatic.com//fa0ed7ad8657cc4d13972c3d9aa5ddbf.mp4,0.877,其它
五两银子-许君聪,https://vdse.bdstatic.com//3f8c43e1446b5829a11ad1bfdf366762.mp4,0.940,其它
五家渠综合频道|澜露直播,https://liveout.btzx.com.cn/62ds9e/d9vi5g.m3u8,0.995,其它
京剧巴骆和,https://vdse.bdstatic.com//70bd50f01950efca7d7418078a1413f3.mp4,0.724,其它
京剧白蛇传-白素贞,https://vd3.bdstatic.com/mda-kfexsxdjrcu6vmpw/v1-cae/hd/mda-kfexsxdjrcu6vmpw.mp4,0.934,其它
今儿倍儿爽-冯巩贾旭明,https://vd3.bdstatic.com/mda-qaqdzhd46jsyine1/cae_h264/1706256490190003880/mda-qaqdzhd46jsyine1.mp4,0.711,其它
伤不起dj,https://vd2.bdstatic.com/mda-ndk1gp50bp71j652/cae_h264_delogo/1650507809324077232/mda-ndk1gp50bp71j652.mp4,0.871,其它
伤心的眼泪,https://vd3.bdstatic.com/mda-ncn2c816zrf6u0im/sc/cae_h264_delogo/1648002300550722369/mda-ncn2c816zrf6u0im.mp4,0.947,其它
你爹就是俺爹-孙涛孙梅,https://vdse.bdstatic.com//1a302fc08665fae80a8a63b3ab4e7688.mp4,0.756,其它
俄罗斯Russia Today,https://rt-glb.rttv.com/live/rtnews/playlist_4500Kb.m3u8,0.755,其它
偏方-程野,https://vd3.bdstatic.com/mda-qc8846b0j6quw1j4/hd/cae_h264/1710082500113348522/mda-qc8846b0j6quw1j4.mp4,0.908,其它
兄弟情深(上),http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0700de47ebc74232bc9f5c5c178aa488/1200.m3u8,0.918,其它
充满爱的象家族2,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0acf5b4f7fc248f1bd0801b768375fd6/1200.m3u8,0.944,其它
八两银子之送画-许君聪,https://vd3.bdstatic.com/mda-mkq3znpa6v59xqd2/hd/cae_h264_nowatermark/1637809763510687007/mda-mkq3znpa6v59xqd2.mp4,0.716,其它
八两银子之送缸-许君聪,https://vdse.bdstatic.com//750ad65e8d89eee5e6394447883560fe.mp4,0.889,其它
兵团卫视,http://111.56.90.5/000000000000/5000000006000040020/index.m3u8,0.885,卫视 SD（632条）
兵团卫视,http://111.56.90.5/000000000000/5000000006000040020/1.m3u8,0.886,其它
养生足浴盆-宋小宝,https://vd3.bdstatic.com/mda-pjpave8wfkfjw3dw/sc/cae_h264/1698189638780452072/mda-pjpave8wfkfjw3dw.mp4,0.931,其它
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8,0.857,卫视 SD（632条）
冬季传说雪鸮,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/e76b2116c4514daea844fbdd1b56ab5d/1200.m3u8,0.989,其它
冰天雪地北极熊(下),http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/360e77812fc84a8198e85a60f087b049/1200.m3u8,0.907,其它
冷风吹心头-马苏潘斌龙,https://vdse.bdstatic.com//acf4842a38dc1cb3f57d6c1bfba3cced.mp4,0.971,其它
凤凰中文,http://livea-ori.huarentv.live:14898,0.987,其它
凤凰卫视中文台,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0,0.811,卫视 SD（632条）
凤凰香港,http://livea-ori.huarentv.live:14897,0.865,其它
刀郎经典歌曲7首：《西海情歌》《敖包相会》《情人》冲动的惩罚HD,https://vdse.bdstatic.com//628ca08719cef5987ea2ae3c6f0d2386.mp4,0.995,其它
刀郎经典老歌合集《披着羊皮的狼》《西海情歌》《冲动的惩罚》HD,https://vdse.bdstatic.com//bfbb0871ed01eb3328497faae6a8531b.mp4,0.761,其它
剑阁综合频道,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel105549/playlist.m3u8,0.746,其它
北京卫视,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMjkvaW5kZXgubTN1OA==,0.889,卫视 SD（632条）
北京卫视,http://livea-ori.huarentv.live:14901,0.984,其它
北京影帝的分身,http://live.nctv.top/douyu1.php?id=9805480,0.805,其它
十堰经济|澜露直播,https://p8.vzan.com/slowlive/701367497774448672/live.m3u8,0.965,其它
华藏卫视（净空老法师）,https://sg1.amtb.de/liveedge/_definst_/smil:livetv.smil/chunklist_w1071093527_b828000.m3u8,0.863,卫视 SD（632条）
南宁文旅生活,https://hls.nntv.cn/nnlive/WLSH_24.m3u8,0.876,其它
厦门卫视,http://111.56.90.5/000000000000/5084893189220221988/index.m3u8,0.706,卫视 SD（632条）
双笙专场,http://live.nctv.top/douyu1.php?id=6476693,0.728,其它
取钱-郭冬临,https://vdse.bdstatic.com//68b2ac3e7a50177c924737f02f82ae9d.mp4,0.809,其它
古镜幽魂,https://v.cdnlz17.com/20231014/29601_38fd1681/2000k/hls/mixed.m3u8,0.953,其它
吉林卫视,http://182.150.23.74:808/hls/35/index.m3u8,0.702,其它
吉林卫视,http://112.99.195.122:65000/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,0.822,卫视 SD（632条）
同桌的你-赵本山小沈阳,https://vd3.bdstatic.com/mda-ka7eamyh1z3i1zgy/v1-cae/hd/mda-ka7eamyh1z3i1zgy.mp4,0.959,其它
周杰伦-等你下课,https://www.iesdouyin.com/aweme/v1/play/?video_id=v0200fg10000cu1nfonog65trp6p79ug&ratio=720p&line=0,0.959,其它
哈利影视,http://live.nctv.top/douyu1.php?id=8475821,0.813,其它
哈尔滨新闻综合,https://rmplive.hljtv.com/live/haerbin.m3u8,0.877,其它 SD（412条）
哥俩好-常远宋阳,https://vdse.bdstatic.com//c71d262097bdcaf64ba452eb14cfbb9b.mp4,0.710,其它
哥还是当年的哥,https://vd3.bdstatic.com/mda-nbgnipfqnp99z7zq/sc/bd265_cae_delogo/1645155978347002274/mda-nbgnipfqnp99z7zq.mp4,0.787,其它
喜乐街-贾玲沙溢,https://vdse.bdstatic.com//601b1450150fbe7d1f6f14043e56b1fe.mp4,0.724,其它
喵喵音乐台,http://live.nctv.top/douyu1.php?id=9568091,0.943,其它
嘉佳卡通,http://111.56.90.5/000000000000/4739906347743456369/index.m3u8,0.742,其它
四川卫视,http://183.237.71.182:40000/hls/33/index.m3u8,0.856,卫视 SD（632条）
四川卫视,http://111.56.90.5/000000000000/1000000002000016825/1.m3u8,0.882,其它
四川科教,http://183.223.157.33:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,0.706,其它 SD（412条）
四川科教频道,http://183.223.157.33:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,0.928,其它 SD（412条）
四川经济,http://183.223.157.33:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,0.930,其它 SD（412条）
